track_id,forecast_time,valid_time_est,lead_time,center_lat,center_lon,cone_radius_km,estimated_population_exposed,risk_score,region_proxy
MELISSA,2025-10-23 00:00:00+00:00,2025-10-23 06:00:00+00:00,6,14.912,-75.01,157.95125348433226,1165026.8409243468,70.0871958729114,R_10_10
MELISSA,2025-10-23 06:00:00+00:00,2025-10-23 12:00:00+00:00,6,15.278,-75.084,204.06528284286995,2797063.829886449,72.47039858981645,R_10_10
MELISSA,2025-10-23 00:00:00+00:00,2025-10-23 12:00:00+00:00,12,15.283333333333331,-75.21249999999999,162.37571991533738,2272579.0871109474,71.89496963301032,R_10_10
MELISSA,2025-10-23 12:00:00+00:00,2025-10-23 18:00:00+00:00,6,15.358,-75.14399999999999,182.3656529359972,2446727.249757384,72.10083335687946,R_10_10
MELISSA,2025-10-23 06:00:00+00:00,2025-10-23 18:00:00+00:00,12,15.52156862745098,-75.15686274509805,200.02304501587108,2910733.3613604065,72.55495331011278,R_10_10
MELISSA,2025-10-23 18:00:00+00:00,2025-10-24 00:00:00+00:00,6,15.733333333333333,-75.41176470588235,181.19728587905712,3015623.925846634,72.62130657908055,R_10_10
MELISSA,2025-10-23 12:00:00+00:00,2025-10-24 00:00:00+00:00,12,15.547058823529412,-75.21960784313725,167.5994359612194,2419207.519723987,72.05859725995542,R_10_10
MELISSA,2025-10-23 00:00:00+00:00,2025-10-24 00:00:00+00:00,24,15.503921568627453,-75.52941176470588,220.64138768971225,3806881.410165,73.30712718957527,R_10_10
MELISSA,2025-10-24 00:00:00+00:00,2025-10-24 06:00:00+00:00,6,15.633333333333333,-75.62941176470589,161.21879263554058,2556326.8729911176,72.18438337083509,R_10_10
MELISSA,2025-10-23 18:00:00+00:00,2025-10-24 06:00:00+00:00,12,15.428571428571429,-75.28571428571429,179.91827168983752,2770762.163926498,72.4349216001269,R_10_10
MELISSA,2025-10-23 06:00:00+00:00,2025-10-24 06:00:00+00:00,24,15.87058823529412,-75.05098039215686,212.6695058310035,3115607.576904565,72.7121923594582,R_10_10
MELISSA,2025-10-24 00:00:00+00:00,2025-10-24 12:00:00+00:00,12,15.49019607843137,-75.4843137254902,150.31676037853651,2265080.9611301003,71.88078451688133,R_10_10
